business_id,name,categories,latitude,longitude
osm_Santhigiri Auyrveda and Siddha Hospital_hospital,Santhigiri Auyrveda and Siddha Hospital,hospital,17.4229122,78.452197
osm_Shree Jaya Krishna Hospital_hospital,Shree Jaya Krishna Hospital,hospital,17.397102,78.5319123
osm_Allwin Hospital_hospital,Allwin Hospital,hospital,17.4091262,78.459209
osm_Sai Institute Of Arthroscopy And Sports Injury_hospital,Sai Institute Of Arthroscopy And Sports Injury,hospital,17.4186198,78.4524223
osm_Sree Balaji Hospital_hospital,Sree Balaji Hospital,hospital,17.5185239,78.4822022
osm_Sathya Hospital_hospital,Sathya Hospital,hospital,17.401288,78.5648384
osm_Leela Hospital_hospital,Leela Hospital,hospital,17.4554163,78.4238099
osm_Anusha Hospital_hospital,Anusha Hospital,hospital,17.3879656,78.4397234
osm_RR Orthopedic Hospital_hospital,RR Orthopedic Hospital,hospital,17.4954209,78.3226825
osm_Partha Dental Clinic_hospital,Partha Dental Clinic,hospital,17.4059203,78.4793389
osm_Susrutha Hospital_hospital,Susrutha Hospital,hospital,17.373217,78.5032857
osm_Venkatesh Borgaonker Nursing Home_hospital,Venkatesh Borgaonker Nursing Home,hospital,17.390579,78.4911588
osm_Harsha Hospitals_hospital,Harsha Hospitals,hospital,17.520925,78.484531
osm_Sri Sai Srinivasa Speciality Hospitals Pvt. Ltd_hospital,Sri Sai Srinivasa Speciality Hospitals Pvt. Ltd,hospital,17.3979338,78.492064
osm_Sai Krishna Neuro Hospital_hospital,Sai Krishna Neuro Hospital,hospital,17.389948,78.4959277
osm_Sagar Lal Memorial Hospital and Matadin Goel Research Center_hospital,Sagar Lal Memorial Hospital and Matadin Goel Research Center,hospital,17.4156652,78.4988473
osm_Matrika Hospital_hospital,Matrika Hospital,hospital,17.4274156,78.4607056
osm_Dr. Mohan's Diabetes Specialities Centre_hospital,Dr. Mohan's Diabetes Specialities Centre,hospital,17.4111077,78.482968
osm_Seha Hospital_hospital,Seha Hospital,hospital,17.404143,78.4622929
osm_Krishna Maternity And Nursing Home_hospital,Krishna Maternity And Nursing Home,hospital,17.4281006,78.5170508
osm_Sri Srinivasa Nursing Home_hospital,Sri Srinivasa Nursing Home,hospital,17.3646867,78.5441633
osm_Global Eye Hospital_hospital,Global Eye Hospital,hospital,17.4912076,78.4011693
osm_People's Hospital_hospital,People's Hospital,hospital,17.531698,78.2650553
osm_Kerala Sanjeevani Ayurvedic Centre_hospital,Kerala Sanjeevani Ayurvedic Centre,hospital,17.417401,78.4577723
osm_Rajagiri Hospitals_hospital,Rajagiri Hospitals,hospital,17.410791,78.5434699
osm_Aravind Nursing Home_hospital,Aravind Nursing Home,hospital,17.4364471,78.4961886
osm_G.N.R. Multispeciality Hospital_hospital,G.N.R. Multispeciality Hospital,hospital,17.49926,78.5129283
osm_Ramana Maternity Nursing Home_hospital,Ramana Maternity Nursing Home,hospital,17.3937202,78.5095339
osm_Surakshaka Multi Speciality Hospital_hospital,Surakshaka Multi Speciality Hospital,hospital,17.4932836,78.4017017
